pow thresold length_gain area_gain median budget solver time cost total_eca 
1.000000 0.010000 0.000000 1.000000 1400.000000 80.000000 naive_eca_inc_log=0_parallel=1 140 80.000000 6344.903272 
1.000000 0.010000 0.000000 1.000000 1400.000000 80.000000 naive_eca_dec_log=0_parallel=1 140 80.000000 6349.597415 
1.000000 0.010000 0.000000 1.000000 1400.000000 80.000000 glutton_eca_inc_log=0_parallel=1 7289 80.000000 6350.623064 
1.000000 0.010000 0.000000 1.000000 1400.000000 80.000000 glutton_eca_dec_log=0_parallel=1 2497 80.000000 6350.623064 
1.000000 0.010000 0.000000 1.000000 1400.000000 80.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 396 80.000000 6350.623064 
1.000000 0.010000 0.000000 1.000000 1400.000000 80.000000 randomized_rounding_draws=1000_log=0_parallel=0 11934 80.000000 6342.061738 
1.000000 0.010000 0.000000 1.000000 1400.000000 85.000000 bogo_draws=0_seed=0 0 85.000000 6081.433627 
1.000000 0.010000 0.000000 1.000000 1400.000000 85.000000 naive_eca_inc_log=0_parallel=1 141 85.000000 6468.164190 
1.000000 0.010000 0.000000 1.000000 1400.000000 85.000000 naive_eca_dec_log=0_parallel=1 141 85.000000 6463.972999 
1.000000 0.010000 0.000000 1.000000 1400.000000 85.000000 glutton_eca_inc_log=0_parallel=1 7486 85.000000 6468.975032 
1.000000 0.010000 0.000000 1.000000 1400.000000 85.000000 glutton_eca_dec_log=0_parallel=1 1917 85.000000 6468.926960 
1.000000 0.010000 0.000000 1.000000 1400.000000 85.000000 pl_eca_3_fortest=0_log=2_relaxed=0_threads=10_timeout=36000 371 85.000000 6468.975032 
1.000000 0.010000 0.000000 1.000000 1400.000000 85.000000 randomized_rounding_draws=1000_log=0_parallel=0 11913 85.000000 6462.629954 
1.000000 0.010000 0.000000 1.000000 1400.000000 90.000000 bogo_draws=0_seed=0 0 90.000000 6263.396750 
1.000000 0.010000 0.000000 1.000000 1400.000000 90.000000 naive_eca_inc_log=0_parallel=1 142 90.000000 6574.508612 
