N2_id,X,Y,cost_mean,cost_max
9444,896640.16,6271845.58,6.14285714285714,10
9445,896657.17,6271842.306,557.285714285714,1000
9446,896674.18,6271839.033,700,1000
9447,896691.19,6271835.759,858.571428571429,1000
9448,896708.2,6271832.485,857.142857142857,1000
9449,896725.21,6271829.212,800,800
9450,896742.22,6271825.938,461.428571428571,800
9451,896759.23,6271822.665,514.285714285714,800
9452,896776.24,6271819.391,330,800
9453,896793.25,6271816.118,614.285714285714,800
9454,896810.26,6271812.844,471.428571428571,800
9455,896827.27,6271809.57,600,1000
9456,896844.28,6271806.297,500,1000
9457,896861.29,6271803.023,92.8571428571429,300
9458,896878.3,6271799.75,119,800
9459,896895.31,6271796.476,414.714285714286,1000
9460,896912.32,6271793.203,461.428571428571,800
9461,896929.33,6271789.929,574.285714285714,800
9462,896946.34,6271786.655,458.857142857143,800
9463,896963.35,6271783.382,373.142857142857,1000
9464,896980.36,6271780.108,600,1000
9465,896997.37,6271776.835,175.714285714286,300
9466,897014.38,6271773.561,175.714285714286,300
9467,897031.39,6271770.288,700,1000
9468,897048.4,6271767.014,51.4285714285714,300
9469,897065.41,6271763.74,234.285714285714,1000
9470,897082.42,6271760.467,10,10
9471,897099.43,6271757.193,300,300
9472,897116.44,6271753.92,217.142857142857,300
9473,897133.45,6271750.646,500,1000
9474,897150.46,6271747.373,642.857142857143,1000
9475,897167.47,6271744.099,687.142857142857,800
9476,897184.48,6271740.825,390,800
9477,897201.49,6271737.552,644.285714285714,1000
9478,897218.5,6271734.278,900,1000
9479,897235.51,6271731.005,292.857142857143,1000
9480,897252.52,6271727.731,217.142857142857,300
9481,897269.53,6271724.457,717.142857142857,1000
9482,897286.54,6271721.184,10,10
9753,896577.79,6271888.136,390,800
9754,896594.8,6271884.863,348.571428571429,800
9755,896611.81,6271881.589,502.857142857143,800
9756,896628.82,6271878.316,318.571428571429,800
9757,896645.83,6271875.042,685.714285714286,1000
9758,896662.84,6271871.768,657.142857142857,800
9759,896679.85,6271868.495,502.857142857143,800
9760,896696.86,6271865.221,277.142857142857,800
9761,896713.87,6271861.948,617.142857142857,1000
9762,896730.88,6271858.674,900,1000
9763,896747.89,6271855.401,757.142857142857,1000
9764,896764.9,6271852.127,390,800
9765,896781.91,6271848.853,442.857142857143,800
9766,896798.92,6271845.58,585.714285714286,800
9767,896815.93,6271842.306,585.714285714286,800
9768,896832.94,6271839.033,585.714285714286,800
9769,896849.95,6271835.759,687.142857142857,800
9770,896866.96,6271832.485,472.857142857143,800
9771,896883.97,6271829.212,334.285714285714,1000
9772,896900.98,6271825.938,658.571428571429,1000
9773,896917.99,6271822.665,542.857142857143,1000
9774,896935,6271819.391,7.42857142857143,10
9775,896952.01,6271816.118,1,1
9776,896969.02,6271812.844,2.28571428571429,10
9777,896986.03,6271809.57,1000,1000
9778,897003.04,6271806.297,700,1000
9779,897020.05,6271803.023,900,1000
9780,897037.06,6271799.75,600,1000
9781,897054.07,6271796.476,458.571428571429,1000
9782,897071.08,6271793.203,8.71428571428571,10
9783,897088.09,6271789.929,92.8571428571429,300
9784,897105.1,6271786.655,51.4285714285714,300
9785,897122.11,6271783.382,334.285714285714,1000
9786,897139.12,6271780.108,488.571428571429,1000
9787,897156.13,6271776.835,235.714285714286,800
9788,897173.14,6271773.561,215.857142857143,300
9789,897190.15,6271770.288,348.571428571429,800
9790,897207.16,6271767.014,348.571428571429,800
9791,897224.17,6271763.74,574.285714285714,800
9792,897241.18,6271760.467,217.142857142857,300
9793,897258.19,6271757.193,900,1000
9794,897275.2,6271753.92,500,1000
9795,897292.21,6271750.646,617.142857142857,1000
9796,897309.22,6271747.373,275.714285714286,1000
9797,897326.23,6271744.099,800,1000
9798,897343.24,6271740.825,192.857142857143,1000
9799,897360.25,6271737.552,658.571428571429,1000
10066,896532.43,6271927.419,558.571428571429,1000
10067,896549.44,6271924.146,544.285714285714,800
10068,896566.45,6271920.872,277.142857142857,800
10069,896583.46,6271917.598,10,10
10070,896600.47,6271914.325,48.8571428571429,300
10071,896617.48,6271911.051,300,300
10072,896634.49,6271907.778,500,1000
10073,896651.5,6271904.504,671.428571428571,1000
10074,896668.51,6271901.231,358.571428571429,1000
10075,896685.52,6271897.957,1000,1000
10076,896702.53,6271894.683,151.428571428571,1000
10077,896719.54,6271891.41,360,800
10078,896736.55,6271888.136,461.428571428571,800
10079,896753.56,6271884.863,542.857142857143,800
10080,896770.57,6271881.589,300,300
10081,896787.58,6271878.316,514.285714285714,800
10082,896804.59,6271875.042,300,300
10083,896821.6,6271871.768,657.142857142857,800
10084,896838.61,6271868.495,472.857142857143,800
10085,896855.62,6271865.221,292.857142857143,1000
10086,896872.63,6271861.948,434.285714285714,1000
