OBJECTID_1,Nom_du_sit,category,x,y,area,price,dist_center,price_rel,prob_destr,area2
20,"etoile","massif",903173.9418,6250253.5308,10,2175,12250.1796875,1.36792452830189,0,10
21,"etoile","massif",902565.2395,6250873.718,10,2175,11889.390625,1.36792452830189,0,10
22,"etoile","massif",902105.8415,6251505.3902,10,2175,11718.984375,1.36792452830189,0,10
23,"etoile","massif",901864.6576,6252366.7614,10,2175,11871.0576172,1.36792452830189,0,10
24,"etoile","massif",902645.6341,6253078.8282,10,2175,12915.8271484,1.36792452830189,0,10
25,"etoile","massif",902289.6007,6253963.1692,10,2175,13088.5976563,1.36792452830189,0,10
26,"etoile","massif",902324.0556,6255146.1189,10,2175,13803.2607422,1.36792452830189,0,10
27,"etoile","massif",901646.4436,6255215.0286,10,2175,13325.2021484,1.36792452830189,0,10
28,"etoile","massif",900595.6138,6254531.3777,10,2175,12078.9404297,1.36792452830189,0,10
29,"etoile","massif",899280.5442,6254548.9016,10,2175,11116.0419922,1.36792452830189,0,10
30,"etoile","massif",897429.1704,6254663.7511,10,2175,10014.1152344,1.36792452830189,0,10
31,"etoile","massif",896234.7358,6254123.9585,10,2175,8888.35742188,1.36792452830189,0,10
32,"etoile","massif",895026.5192,6253320.0121,10,1590,7582.94140625,1,0,10
33,"etoile","massif",894257.0276,6253687.5305,10,1590,7609.89501953,1,0,10
34,"etoile","massif",893636.8404,6253457.8315,10,1590,7172.94921875,1,0,10
35,"etoile","massif",892809.9241,6253630.1057,10,1679,7148.62939453,1.0559748427673,0,10
36,"etoile","massif",892541.1763,6255192.0587,10,1679,8647.70507813,1.0559748427673,0,10
37,"etoile","massif",892752.8326,6255968.1806,10,1679,9448.47558594,1.0559748427673,0,10
38,"estaque","massif",889486.1799,6255249.4835,10,1679,8863.97167969,1.0559748427673,0,10
39,"estaque","massif",888452.5345,6254778.6006,10,1679,8704.39550781,1.0559748427673,0,10
40,"estaque","massif",887935.7119,6254675.2361,10,1679,8812.29296875,1.0559748427673,0,10
41,"estaque","massif",887522.2537,6255467.6975,10,1679,9695.57128906,1.0559748427673,0,10
42,"estaque","massif",886624.1307,6254755.6307,10,1679,9471.87988281,1.0559748427673,0,10
43,"friche","friche",898049.257386,6244967.85902,0.1,2096,6774.02392578,1.31823899371069,0.507395727586591,0.827692873476567
44,"friche","friche",892169.588626,6245093.82956,0.1,3537,1678.39208984,2.22452830188679,0.802724892548976,1.6980571939232
45,"friche","friche",901645.466558,6247686.2406,0.1,2473,10227.1845703,1.55534591194969,0.307259791070499,0.964325837266784
46,"friche","friche",895305.329021,6252974.91374,0.1,1590,7429.34716797,1,0.469414948729809,0.947550307227774
47,"friche","friche",890993.37104,6253728.53206,0.1,1679,7126.18408203,1.0559748427673,0.486985468716476,1.1287786017102
48,"friche","friche",898478.300613,6252925.55769,0.1,2175,9432.41210938,1.36792452830189,0.353322672922187,0.240749564360772
49,"friche","friche",895901.738431,6253920.15779,0.1,2175,8535.671875,1.36792452830189,0.405295333650877,0.69673306647491
50,"friche","friche",897200.104002,6253609.10993,0.1,2175,9038.41796875,1.36792452830189,0.376157517412256,0.798642515020085
51,"friche","friche",899260.221967,6252858.94686,0.1,2175,9988.87402344,1.36792452830189,0.321071631696326,1.32232413480674
52,"friche","friche",903788.102028,6247286.55409,0.1,2473,12347.6513672,1.55534591194969,0.184363218354622,3.10104337038653
53,"friche","friche",900212.393879,6245527.07644,0.1,2473,8796.55078125,1.55534591194969,0.390175491397811,0.171937781604224
54,"friche","friche",895558.97371,6250839.08465,0.1,2175,5877.01464844,1.36792452830189,0.55938398132421,0.629638183488435
55,"friche","friche",896406.288742,6252451.46675,0.1,2175,7640.34667969,1.36792452830189,0.457185982507362,1.06218706973818
56,"friche","friche",903260.733409,6247993.88686,0.1,2473,11870.4882813,1.55534591194969,0.212018312020494,0.459664361629717
57,"friche","friche",903481.071627,6248539.65779,0.1,2473,12152.6289063,1.55534591194969,0.195666197529899,0.907697041460399
