troncon_id,delta_ECA,ratio_delta_cost
3387,0.881721,0.025933
3388,1.672470,0.038011
3390,0.107001,0.007133
3391,0.073109,0.006646
3392,0.179420,0.009443
3395,0.040744,0.001852
3396,0.195091,0.013935
3406,0.019147,0.001197
3409,3.042070,0.104899
3412,1.421310,0.044416
3415,0.039444,0.001793
3416,2.068470,0.051712
3417,0.010089,0.000593
3418,0.186073,0.018607
3419,0.746484,0.016228
3421,0.093935,0.005526
3422,11.099700,0.443987
3423,0.291625,0.016201
3424,0.023453,0.001466
3426,12.805700,0.232832
3427,2.897000,0.103464
3430,0.098702,0.008973
3432,0.047523,0.003394
3434,0.127277,0.006364
3435,0.028554,0.002379
3445,0.065691,0.003457
3446,0.011093,0.000853
3447,0.011093,0.000924
3448,0.033679,0.002591
3449,0.196404,0.014029
3450,1.347590,0.039635
3452,1.513830,0.116449
3454,1.096540,0.030460
3459,0.015412,0.000514
3460,0.412657,0.012505
3466,32.647800,3.264780
3467,49.924700,1.349320
3468,61.877000,1.819910
3469,15.603900,1.040260
3474,0.400356,0.025022
3517,1.517160,0.068962
3518,0.020549,0.006850
3519,0.413422,0.037584
3524,0.104442,0.006963
3526,10.467700,0.402602
3529,0.061507,0.001984
3531,0.025067,0.001003
3537,0.909612,0.034985
3538,0.017973,0.000666
3539,1.869240,0.056644
3542,4.357640,0.242091
3546,0.032825,0.001824
3547,0.181228,0.003236
3550,0.198282,0.015252
3560,34.595400,1.572520
3561,103.683000,2.658550
3563,0.111447,0.004846
3565,0.100195,0.003711
3569,0.121507,0.003920
3572,0.114002,0.003800
3574,0.070310,0.002511
3576,0.035276,0.001138
3577,0.981404,0.011824
3578,28.286300,1.414310
3579,24.430900,0.698024
3582,0.046423,0.004220
3583,1.032690,0.079438
3586,0.887029,0.049279
3587,0.617739,0.038609
3588,0.493540,0.023502
3591,0.215005,0.008269
3592,0.745525,0.025708
3593,0.049203,0.003280
3594,0.548490,0.042192
3595,0.106443,0.006653
3596,4.183770,0.220199
3597,3.189820,0.245371
3598,0.034377,0.001809
3600,0.347240,0.020426
3605,0.077688,0.002590
3607,0.733307,0.031883
3611,0.026077,0.001087
3612,0.019902,0.002211
3613,0.013862,0.000866
3618,20.844200,0.595548
3619,0.013323,0.001332
3623,0.032866,0.001933
3624,0.590183,0.017884
3625,43.203500,1.028650
3628,0.051942,0.002078
3630,0.746553,0.049770
3638,0.078964,0.001253
3639,0.011257,0.000322
3640,0.127341,0.002830
3644,0.010615,0.000663
3649,27.641400,0.468499
3650,5.979120,0.149478
3651,1.044310,0.024865
3652,1.026290,0.015093
3653,0.878613,0.046243
3657,2.525420,0.194263
3658,4.023110,0.100578
3660,2.390290,0.099596
3661,0.976498,0.036167
3665,0.096157,0.005342
3666,0.014779,0.001232
3667,0.085583,0.004075
3670,0.014094,0.000829
3671,0.094718,0.006766
3673,0.258402,0.013600
3674,1.403060,0.017988
3675,0.666158,0.039186
3676,0.323379,0.017020
3677,0.048410,0.003724
3679,0.183976,0.009199
3680,0.558612,0.031034
3681,0.159445,0.007248
3682,21.084500,1.004020
3684,1.760340,0.176034
3685,0.136013,0.007159
3689,0.484182,0.032279
3695,0.011371,0.000406
3696,0.028214,0.002821
3699,0.010971,0.000406
3702,0.037370,0.001967
3703,0.262089,0.010080
3707,0.122521,0.004901
3710,8.034640,0.365211
3712,0.047210,0.001888
3713,13.018400,0.650922
3714,6.106140,0.407076
3715,11.531800,0.221764
3719,0.017500,0.000625
3724,0.026314,0.000711
3727,0.842747,0.060196
3728,0.135029,0.008439
3729,0.261358,0.018668
3730,0.234010,0.014626
3731,1.477660,0.054728
3735,1.973830,0.093992
3736,0.208657,0.010982
3737,0.400914,0.028637
3739,18.145000,1.649550
3740,0.368867,0.013174
3741,0.595925,0.022920
3753,0.206476,0.005434
3754,0.585826,0.036614
3755,0.037285,0.003107
3756,0.159683,0.012283
3757,0.117875,0.004366
