from,to,from_x,from_y,to_x,to_y
173,174,897817.951,6248248.827,895066.1113,6243303.233
172,195,902428.6381,6247977.304,900626.3369,6253112.184
172,194,902428.6381,6247977.304,899962.6971,6251047.65
172,193,902428.6381,6247977.304,898360.8419,6249231.89
172,191,902428.6381,6247977.304,902518.0489,6247189.228
172,190,902428.6381,6247977.304,903115.7029,6248328.979
172,189,902428.6381,6247977.304,899142.4554,6252598.436
172,188,902428.6381,6247977.304,899652.3352,6251059.146
172,186,902428.6381,6247977.304,901234.2054,6254146.527
172,185,902428.6381,6247977.304,899255.6088,6249530.409
172,184,902428.6381,6247977.304,896259.7889,6247501.291
172,182,902428.6381,6247977.304,898140.7095,6250264.237
172,181,902428.6381,6247977.304,896109.477,6249277.96
172,176,902428.6381,6247977.304,895189.3055,6244277.833
172,175,902428.6381,6247977.304,894474.0396,6248609.383
172,173,902428.6381,6247977.304,897817.951,6248248.827
171,195,895931.1183,6251813.658,900626.3369,6253112.184
171,194,895931.1183,6251813.658,899962.6971,6251047.65
171,193,895931.1183,6251813.658,898360.8419,6249231.89
171,192,895931.1183,6251813.658,891245.3657,6253164.735
171,191,895931.1183,6251813.658,902518.0489,6247189.228
171,190,895931.1183,6251813.658,903115.7029,6248328.979
171,189,895931.1183,6251813.658,899142.4554,6252598.436
171,188,895931.1183,6251813.658,899652.3352,6251059.146
171,186,895931.1183,6251813.658,901234.2054,6254146.527
171,185,895931.1183,6251813.658,899255.6088,6249530.409
171,184,895931.1183,6251813.658,896259.7889,6247501.291
171,182,895931.1183,6251813.658,898140.7095,6250264.237
171,181,895931.1183,6251813.658,896109.477,6249277.96
171,180,895931.1183,6251813.658,894782.8435,6252089.149
171,179,895931.1183,6251813.658,893572.6591,6250200.509
171,177,895931.1183,6251813.658,893031.9905,6248778.506
171,176,895931.1183,6251813.658,895189.3055,6244277.833
171,175,895931.1183,6251813.658,894474.0396,6248609.383
171,174,895931.1183,6251813.658,895066.1113,6243303.233
171,173,895931.1183,6251813.658,897817.951,6248248.827
171,172,895931.1183,6251813.658,902428.6381,6247977.304
170,195,897221.6731,6254280.26,900626.3369,6253112.184
170,194,897221.6731,6254280.26,899962.6971,6251047.65
170,193,897221.6731,6254280.26,898360.8419,6249231.89
170,192,897221.6731,6254280.26,891245.3657,6253164.735
170,190,897221.6731,6254280.26,903115.7029,6248328.979
170,189,897221.6731,6254280.26,899142.4554,6252598.436
170,188,897221.6731,6254280.26,899652.3352,6251059.146
170,186,897221.6731,6254280.26,901234.2054,6254146.527
170,185,897221.6731,6254280.26,899255.6088,6249530.409
170,184,897221.6731,6254280.26,896259.7889,6247501.291
170,182,897221.6731,6254280.26,898140.7095,6250264.237
