center percent_arcs nb_vars nb_constraints nb_entries nb_vars_contract nb_constraints_contract nb_entries_contract 
7856 45 1585981 740501 4151481 699663 454452 1928297
7856 50 1640590 795001 4369590 795921 515603 2214386
7856 55 1695199 849501 4587699 864060 559478 2422573
7856 60 1749808 904001 4805808 933571 605955 2642868
7856 65 1804417 958501 5023917 1016151 661138 2902855
7856 70 1859026 1013001 5242026 1098744 716113 3163374
7856 75 1913635 1067501 5460135 1180703 769590 3425285
7856 80 1968244 1122001 5678244 1257677 820522 3675828
7856 85 2022853 1176501 5896353 1329793 871695 3916365
7856 90 2077462 1231001 6114462 1401931 921538 4152778
7856 95 2132071 1285501 6332571 1492469 979755 4443811
7856 100 2186680 1340001 6550680 1584283 1039729 4745364
5545 0 1089500 250000 2178500 500 500 500
5545 5 1143608 304001 2394608 66404 46446 166772
5545 10 1197716 358001 2610716 127198 92681 331444
5545 15 1251824 412001 2826824 183312 132506 480854
5545 20 1305932 466001 3042932 250431 178562 662216
5545 25 1360040 520001 3259040 321911 225926 857430
5545 30 1414148 574001 3475148 380036 268914 1029254
5545 35 1468256 628001 3691256 445155 315169 1221202
5545 40 1522364 682001 3907364 514797 362713 1425920
5545 45 1576472 736001 4123472 587474 413841 1643668
5545 50 1630580 790001 4339580 652588 459675 1840780
5545 55 1684688 844001 4555688 714747 502670 2030144
5545 60 1738796 898001 4771796 779128 542371 2224884
5545 65 1792904 952001 4987904 833400 580771 2394906
5545 70 1847012 1006001 5204012 907500 631636 2628530
5545 75 1901120 1060001 5420120 966185 671214 2816862
5545 80 1955228 1114001 5636228 1029097 713581 3017226
5545 85 2009336 1168001 5852336 1097022 761358 3233282
5545 90 2063444 1222001 6068444 1149511 796840 3403274
5545 95 2117552 1276001 6284552 1223731 846838 3643632
5545 100 2171660 1330001 6500660 1288400 890532 3856288
2022 0 972500 250000 1944500 500 500 500
2022 5 1021097 298501 2138597 76860 52289 187587
2022 10 1069694 347001 2332694 156524 108775 395622
2022 15 1118291 395501 2526791 240080 162491 608877
2022 20 1166888 444001 2720888 326160 216521 842290
2022 25 1215485 492501 2914985 415378 271852 1085365
2022 30 1264082 541001 3109082 492441 320005 1302336
2022 35 1312679 589501 3303179 554090 361082 1483681
2022 40 1361276 638001 3497276 641525 415200 1740344
2022 45 1409873 686501 3691373 714594 462408 1957563
2022 50 1458470 735001 3885470 774736 505476 2146946
2022 55 1507067 783501 4079567 848680 553398 2370681
2022 60 1555664 832001 4273664 926796 602295 2613016
2022 65 1604261 880501 4467761 1005198 656306 2861775
2022 70 1652858 929001 4661858 1068247 701495 3067360
2022 75 1701455 977501 4855955 1142690 750982 3306125
